Year,2013,2014,2015,2016,2017,2018
Curr. Port. of LT Debt,516.7,"1,795.60",856.7,"1,835.30","1,714.10","1,480.80"
Curr. Income Taxes Payable,465.4,462.7,352.6,339.1,194.3,297.9
"Unearned Revenue, Current","2,951.40","2,680.10","2,230.60","2,093.80","2,442.90","1,028.40"
Other Current Liabilities,"1,987.90","2,562.30","2,084.90","1,998.30","1,647.90","5,586.00"
Total Current Liabilities,"9,217.40","10,825.20","8,782.20","9,170.50","9,452.10","8,393.10"
,,,,,,
Long-Term Debt,"6,582.90","5,586.90","7,401.90","7,217.70","6,078.90","6,067.80"
"Def. Tax Liability, Non-Curr.",441.9,302.5,373.2,331.2,334.7,196.6
Other Non-Current Liabilities,124.6,148.7,437.5,181.1,286.6,361.7
Total Liabilities,"16,366.80","16,863.30","16,994.70","16,900.50","16,152.40","15,019.20"
,,,,,,
Common Stock,"1,205.90","1,287.60","1,288.40","1,288.40","1,291.30","1,291.70"
Additional Paid In Capital,-,-,-,-,-,-
Retained Earnings,"8,301.10","9,422.80","10,379.30","10,655.40","10,486.10","10,330.30"
Treasury Stock,-,-48.7,-49,-15.5,-0.1,-45.1
Comprehensive Inc. and Other,194.2,-280.9,-523,-269.3,-344.6,-298.7
Total Common Equity,"9,701.20","10,380.80","11,095.70","11,658.90","11,432.70","11,278.20"
,,,,,,
Minority Interest,"3,987.70","4,346.90",830.2,674.7,527.7,308.9
,,,,,,
Total Equity,"13,688.90","14,727.60","11,925.90","12,333.60","11,960.40","11,587.10"
,,,,,,
Total Liabilities And Equity,"30,055.60","31,590.90","28,920.60","29,234.20","28,112.80","26,606.30"
,,,,,,
Total Shares Out. on Filing Date,"1,808.00","1,811.80","1,811.10","1,815.70","1,816.10","1,812.50"
Total Shares Out. on Balance Sheet Date,"1,808.00","1,811.80","1,811.10","1,815.70","1,818.30","1,812.50"
Book Value/Share,5.37,5.73,6.13,6.42,6.29,6.22
Tangible Book Value,"9,622.80","10,285.40","11,003.00","11,539.10","11,319.20","11,149.20"
Tangible Book Value/Share,5.32,5.68,6.08,6.36,6.23,6.15
Total Debt,"7,463.10","7,700.00","8,557.30","9,358.20","8,189.40","7,548.50"
Net Debt,"1,559.00","1,712.40","6,597.60","7,210.20","5,880.50","5,440.10"
Debt Equivalent Oper. Leases,677,857.2,877,844.9,752.7,NA
Total Minority Interest,"3,987.70","4,346.90",830.2,674.7,527.7,308.9
Equity Method Investments,"5,482.20","4,988.40","5,409.60","5,412.60","5,901.30","6,239.70"
Inventory Method,Avg Cost,Avg Cost,Avg Cost,Avg Cost,Avg Cost,NA
Raw Materials Inventory,224.8,173.9,141.1,125.7,115.1,NA
Work in Progress Inventory,"7,838.40","9,200.90","9,246.30","8,078.60","7,395.40",NA
Finished Goods Inventory,965.9,"1,345.00","1,463.70","1,953.80","1,362.70",NA
Land,"1,870.70","1,838.00","2,117.70","2,159.20","2,077.30",NA
Buildings,108.8,109.4,113.5,112.9,107,NA
Machinery,"3,493.30","2,253.50","2,426.20","2,592.30","2,308.20",NA
Construction in Progress,418.9,550,464.7,251.6,308.7,-
Full Time Employees,"39,364","38,732","33,574","28,879","21,862",NA
Accum. Allowance for Doubtful Accts,10.8,6.6,8.8,16.9,56.3,NA
Order Backlog,NA,NA,NA,NA,"3,900.00","4,300.00"
Filing Date,Mar-27-2015,Mar-28-2016,Mar-30-2017,Mar-28-2018,Mar-28-2018,Jan-24-2019
Restatement Type,RC,RS,RC,RC,O,P
Calculation Type,REP,REP,REP,REP,REP,REP
,,,,,,
,,,,,,
,,,,,,
"
               
               
               
               
               ",,,,,,
