Year,2013,2014,2015,2016,2017,2018
  Net PP&E 1Y,13.80%,-29.60%,6.50%,-7.00%,-8.00%,-2.50%
  Total Assets 1Y,2.90%,5.10%,-8.50%,1.10%,-3.80%,-5.40%
,,,,,,
  Tangible Book Value 1Y,5.00%,6.90%,7.00%,4.90%,-1.90%,-1.50%
  Common Equity 1Y,4.90%,7.00%,6.90%,5.10%,-1.90%,-1.40%
  Cash from Ops. 1Y,-36.70%,-99.30%,-,-,368.00%,-90.90%
  Capital Expenditures 1Y,12.00%,-36.40%,94.70%,-59.80%,-15.70%,-35.20%
  Levered Free Cash Flow 1Y,-,-,-,-,6413.50%,-70.40%
  Unlevered Free Cash Flow 1Y,-,-,-,-,1031.20%,-65.70%
  Dividend per Share 1Y,-11.10%,20.00%,-29.20%,-41.20%,10.00%,13.60%
,,,,,,
Compound Annual Growth Rate Over Two Years,,,,,,
  Total Revenue 2Y,10.80%,-2.50%,-8.80%,-28.60%,-23.90%,-6.10%
  Gross Profit 2Y,-0.40%,-4.90%,-7.70%,-21.50%,-23.50%,-15.50%
  EBITDA 2Y,-11.50%,-13.70%,-24.20%,-27.30%,-34.70%,-27.70%
  EBITA 2Y,-13.10%,-16.20%,-26.70%,-30.80%,-42.90%,-32.80%
  EBIT 2Y,-13.10%,-16.20%,-26.80%,-30.90%,-43.10%,-32.70%
  Earnings from Cont. Ops. 2Y,-8.60%,-6.20%,-18.50%,-41.80%,-63.10%,7.90%
  Net Income 2Y,-2.60%,-8.20%,-9.10%,-35.50%,-62.30%,9.70%
  Normalized Net Income 2Y,2.10%,-22.00%,-11.20%,-11.80%,-32.00%,-32.50%
  Diluted EPS before Extra 2Y,-3.30%,-8.80%,-9.20%,-35.40%,-62.40%,9.80%
,,,,,,
  Accounts Receivable 2Y,-0.40%,10.60%,28.30%,29.20%,1.70%,54.10%
  Inventory 2Y,16.70%,18.10%,9.40%,-3.10%,-9.70%,-25.80%
  Net PP&E 2Y,18.30%,-10.50%,-13.40%,-0.50%,-7.50%,-5.30%
  Total Assets 2Y,9.40%,4.00%,-1.90%,-3.80%,-1.40%,-4.60%
,,,,,,
  Tangible Book Value 2Y,12.40%,5.90%,6.90%,5.90%,1.40%,-1.70%
  Common Equity 2Y,12.20%,6.00%,6.90%,6.00%,1.50%,-1.60%
  Cash from Ops. 2Y,-,-93.20%,-,689.90%,-,-34.90%
  Capital Expenditures 2Y,3.40%,-15.60%,11.20%,-11.50%,-41.80%,-26.10%
  Levered Free Cash Flow 2Y,-,-,-,-,-,338.80%
  Unlevered Free Cash Flow 2Y,-,-,-,-,-,96.80%
  Dividend per Share 2Y,-3.60%,3.30%,-7.80%,-35.50%,-19.60%,11.80%
,,,,,,
Compound Annual Growth Rate Over Three Years,,,,,,
  Total Revenue 3Y,10.60%,9.60%,-9.70%,-18.20%,-23.40%,-16.60%
  Gross Profit 3Y,3.90%,1.90%,-10.30%,-13.00%,-22.50%,-17.90%
  EBITDA 3Y,10.70%,-11.40%,-21.60%,-22.30%,-34.90%,-24.70%
  EBITA 3Y,11.10%,-13.30%,-24.10%,-25.50%,-41.30%,-29.70%
  EBIT 3Y,11.10%,-13.30%,-24.10%,-25.60%,-41.40%,-29.70%
  Earnings from Cont. Ops. 3Y,6.40%,-5.40%,-16.70%,-30.00%,-55.30%,-15.60%
  Net Income 3Y,6.90%,-1.10%,-12.00%,-24.80%,-51.40%,-14.80%
  Normalized Net Income 3Y,19.40%,-7.00%,-14.70%,-15.70%,-22.10%,-29.80%
  Diluted EPS before Extra 3Y,5.90%,-1.70%,-12.20%,-24.90%,-51.40%,-14.80%
,,,,,,
  Accounts Receivable 3Y,6.20%,6.00%,18.80%,26.00%,12.40%,42.40%
  Inventory 3Y,31.70%,17.40%,12.00%,3.70%,-6.30%,-20.00%
  Net PP&E 3Y,19.20%,-0.50%,-5.20%,-11.40%,-3.10%,-5.90%
  Total Assets 3Y,13.70%,8.00%,-0.30%,-0.90%,-3.80%,-2.70%
,,,,,,
  Tangible Book Value 3Y,15.00%,10.50%,6.30%,6.20%,3.20%,0.40%
  Common Equity 3Y,14.80%,10.50%,6.30%,6.30%,3.30%,0.50%
  Cash from Ops. 3Y,12.20%,-,-,-22.70%,563.40%,-
  Capital Expenditures 3Y,2.30%,-12.10%,11.50%,-20.70%,-12.90%,-39.70%
  Levered Free Cash Flow 3Y,-,-,-,-,-,-
  Unlevered Free Cash Flow 3Y,-,-,-,-,-,-
  Dividend per Share 3Y,1.50%,3.70%,-8.90%,-20.60%,-22.90%,-9.70%
,,,,,,
Compound Annual Growth Rate Over Five Years,,,,,,
  Total Revenue 5Y,1.00%,1.60%,2.40%,-7.70%,-15.60%,-13.60%
  Gross Profit 5Y,4.90%,3.30%,-1.00%,-8.20%,-15.90%,-14.00%
  EBITDA 5Y,11.50%,3.80%,-4.80%,-18.20%,-27.10%,-24.50%
  EBITA 5Y,11.50%,3.30%,-5.90%,-20.80%,-32.30%,-28.50%
  EBIT 5Y,11.50%,3.20%,-6.00%,-20.80%,-32.40%,-28.50%
  Earnings from Cont. Ops. 5Y,12.60%,5.80%,-4.40%,-22.10%,-39.80%,-16.80%
  Net Income 5Y,10.90%,3.00%,0.20%,-16.60%,-37.30%,-12.60%
  Normalized Net Income 5Y,9.10%,-1.50%,6.10%,-9.00%,-22.10%,-22.90%
  Diluted EPS before Extra 5Y,10.10%,2.10%,-0.40%,-16.90%,-37.50%,-12.60%
,,,,,,
  Accounts Receivable 5Y,-1.10%,-4.90%,14.50%,14.70%,11.70%,36.60%
  Inventory 5Y,22.10%,27.40%,22.30%,8.70%,2.80%,-9.30%
  Net PP&E 5Y,14.30%,4.40%,4.90%,-0.50%,-6.10%,-9.00%
  Total Assets 5Y,12.40%,12.80%,7.20%,3.10%,-0.80%,-2.40%
,,,,,,
  Tangible Book Value 5Y,16.30%,11.80%,11.70%,8.70%,4.30%,3.00%
  Common Equity 5Y,16.10%,11.60%,11.60%,8.70%,4.30%,3.10%
  Cash from Ops. 5Y,-20.80%,-62.90%,-,-,6.50%,-27.80%
  Capital Expenditures 5Y,17.90%,4.60%,5.80%,-11.80%,-14.00%,-22.90%
  Levered Free Cash Flow 5Y,-,-,-,-,-,-
  Unlevered Free Cash Flow 5Y,-,-,-,-,-,-
  Dividend per Share 5Y,4.70%,6.80%,-2.30%,-14.20%,-13.30%,-9.00%
,,,,,,
"
               
               
               
               
               ",,,,,,
